ID,Last_Name,First_Name,Date_of_Birth,University_Level
39357,Al-Otaibi,Fahd,21/08/2004,SO
40468,Al-Qahtani,Adel,02/11/2003,JR
51579,Al-Shehri,Badr,13/03/2002,SR
62680,Al-Shamrani,Firas,26/07/2005,FR
73791,Al-Malki,Hatim,07/10/2004,SO
84802,Al-Ruwaili,Turki,18/01/2003,JR
96913,Al-Mutairi,Mishal,29/06/2002,SR
18024,Al-Assiri,Nassar,12/10/2005,FR
29135,Al-Faifi,Fawaz,23/01/2004,SO
30246,Al-Ahmari,Majid,04/04/2003,JR
41357,Al-Dawsari,Thamer,15/08/2002,SR
52468,Al-Bugami,Meteb,28/12/2005,FR
63579,Al-Shahrani,Naif,09/03/2004,SO
74680,Al-Anazi,Abdullah,20/06/2003,JR
32024,Al-Rashidi,Mohammed,01/10/2002,SR
43135,Al-Thaqafi,Omar,14/02/2005,FR
76468,Al-Harthi,Amjad,15/08/2003,JR
87579,Al-Zahid,Fawaz,06/05/2002,SR
98680,Al-Malik,Ghaith,29/07/2005,FR
10791,Al-Thunayan,Hisham,11/01/2004,SO
21802,Al-Rubaian,Idris,03/11/2003,JR
32913,Al-Shakir,Jamal,24/06/2002,SR
43024,Al-Hazmi,Kareem,17/04/2005,FR
54135,Al-Jabri,Luay,08/10/2004,SO
65246,Al-Ghanem,Mazen,19/02/2003,JR
76357,Al-Nasser,Nadir,12/09/2002,SR
87468,Al-Salem,Omar,05/08/2005,FR
98579,Al-Tamimi,Qusai,28/12/2004,SO
10680,Al-Utaibi,Rami,14/05/2003,JR
21791,Al-Wabil,Saif,07/01/2002,SR
32802,Al-Yahya,Tamer,30/06/2005,FR
43913,Al-Zamil,Umar,21/02/2004,SO
54024,Al-Abbad,Wael,13/09/2003,JR
65135,Al-Bassam,Yasir,05/04/2002,SR
76246,Al-Dahlan,Zain,26/11/2005,FR
87357,Al-Eid,Ahmad,18/07/2004,SO
98468,Al-Fahad,Basil,09/03/2003,JR
10579,Al-Ghaith,Dawood,02/10/2002,SR
21680,Al-Hamdan,Elias,23/05/2005,FR
32791,Al-Ibrahim,Fahed,15/11/2004,SO
43802,Al-Jabr,Ghassan,06/01/2003,JR
54913,Al-Khaldi,Hamza,29/08/2002,SR
65024,Al-Luhaibi,Imad,20/03/2005,FR
76135,Al-Mansour,Jamil,12/06/2004,SO
87246,Al-Nassar,Khalil,04/12/2003,JR
98357,Al-Obaid,Laith,27/07/2002,SR
10468,Al-Qaisi,Maher,18/09/2005,FR
21579,Al-Rayes,Nabil,09/04/2004,SO
32680,Al-Saeed,Osama,31/10/2003,JR
43791,Al-Tahan,Qais,23/02/2002,SR
54802,Al-Ubaid,Rafiq,16/01/2005,FR
65913,Al-Wahabi,Saber,07/08/2004,SO
76024,Al-Yousef,Tarek,29/04/2003,JR
87135,Al-Zein,Usama,21/11/2002,SR
98246,Al-Ahmadi,Walid,14/07/2005,FR
96427,Al-Buhairi,Yousif,05/03/2004,SO
88788,Al-Dhafiri,Zaki,27/08/2003,JR
51390,Al-Enazi,Ali,19/05/2002,SR
22944,Al-Farhan,Bassel,10/02/2005,FR
83787,Al-Ghunaim,Dani,02/09/2004,SO
28207,Al-Harbi,Emad,24/06/2003,JR
36315,Al-Ismail,Fadi,16/12/2002,SR
32540,Al-Juhani,Hadi,09/10/2005,FR
13027,Al-Khoury,Ibrahim,01/05/2004,SO
58708,Al-Luhaidan,Jawad,23/11/2003,JR
30548,Al-Madhoun,Kamal,15/03/2002,SR
54001,Al-Naji,Layth,07/08/2005,FR
90521,Al-Otaibi,Masoud,29/01/2004,SO
53314,Al-Qasim,Nizar,21/07/2003,JR
86172,Al-Rashid,Omar,13/04/2002,SR
57222,Al-Saadi,Qasim,05/12/2005,FR
57299,Al-Tamimi,Rashed,27/06/2004,SO
95601,Al-Ubaidi,Samir,18/02/2003,JR
63716,Al-Wafi,Taha,10/09/2002,SR
37140,Al-Yahya,Uday,02/04/2005,FR
22371,Al-Zahrani,Waseem,24/10/2004,SO
46251,Al-Abbasi,Yousef,16/05/2003,JR
30725,Al-Badri,Ziad,08/01/2002,SR
74597,Al-Dhaheri,Adnan,30/06/2005,FR
86137,Al-Essa,Bilal,21/02/2004,SO
86345,Al-Faraj,Dirar,13/09/2003,JR
52180,Al-Ghamdi,Eyad,05/04/2002,SR
83502,Al-Harthy,Fadi,26/11/2005,FR
26517,Al-Idris,Hani,18/07/2004,SO
70422,Al-Jadaan,Imran,09/03/2003,JR
69003,Al-Khateeb,Jihad,02/10/2002,SR
93629,Al-Luhaidan,Kamil,23/05/2005,FR
29831,Al-Mani,Loay,15/11/2004,SO
69447,Al-Nasser,Majid,06/01/2003,JR
22515,Al-Obaid,Nadim,29/08/2002,SR
54906,Al-Qarni,Omar,20/03/2005,FR
63507,Al-Rasheed,Parvez,12/06/2004,SO
21747,Al-Saeed,Qusay,04/12/2003,JR
59529,Al-Tamimi,Raed,27/07/2002,SR
39966,Al-Utaibi,Sami,18/09/2005,FR
17883,Al-Wardi,Tariq,09/04/2004,SO
43436,Al-Yahya,Umar,31/10/2003,JR
59313,Al-Zahir,Wadi,23/02/2002,SR
85252,Al-Abbad,Yaseen,16/01/2005,FR
46229,Al-Badawi,Zaid,07/08/2004,SO
28462,Al-Dakhil,Adil,29/04/2003,JR
32089,Al-Essa,Bashar,21/11/2002,SR
22442,Al-Farsi,Daoud,14/07/2005,FR
51365,Al-Ghalib,Ehab,05/03/2004,SO
35824,Al-Harbi,Fahad,27/08/2003,JR
72520,Al-Idrees,Ghanim,19/05/2002,SR
46428,Al-Jabr,Hakim,10/02/2005,FR
67240,Al-Khaldi,Imad,02/09/2004,SO
87772,Al-Luhaib,Jamal,24/06/2003,JR
96895,Al-Maliki,Karim,16/12/2002,SR
87043,Al-Omari,Mazen,01/05/2004,SO
49846,Al-Qarni,Nasser,23/11/2003,JR
39443,Al-Rashidi,Omar,15/03/2002,SR
97779,Al-Saadi,Qais,07/08/2005,FR
89243,Al-Tamimi,Rami,29/01/2004,SO
27565,Al-Utaibi,Saad,21/07/2003,JR
22964,Al-Wafi,Talal,13/04/2002,SR
15019,Al-Yahya,Usama,05/12/2005,FR
77833,Al-Zahrani,Waleed,27/06/2004,SO
23530,Al-Abbasi,Yasir,18/02/2003,JR
85843,Al-Badri,Zain,10/09/2002,SR
53598,Al-Dahham,Adel,02/04/2005,FR
39078,Al-Essa,Badr,24/10/2004,SO
85783,Al-Faraj,Dhari,16/05/2003,JR
61026,Al-Ghamdi,Essam,08/01/2002,SR
18520,Al-Harthy,Faisal,30/06/2005,FR
55851,Al-Idris,Ghazi,21/02/2004,SO
61744,Al-Jabr,Hamad,13/09/2003,JR
69160,Al-Khateeb,Ibrahim,05/04/2002,SR
95891,Al-Luhaidan,Jamil,26/11/2005,FR
34880,Al-Malki,Khalid,18/07/2004,SO
11241,Al-Nasser,Laith,09/03/2003,JR
82529,Al-Obaid,Majed,02/10/2002,SR
37604,Al-Qarni,Nabil,23/05/2005,FR
90558,Al-Rasheed,Omar,15/11/2004,SO
52564,Al-Saadi,Qusai,06/01/2003,JR
39836,Al-Utaibi,Saud,20/03/2005,FR
96375,Al-Wafi,Tariq,12/06/2004,SO
69451,Al-Zahrani,Walid,27/07/2002,SR
47727,Al-Abbasi,Yasser,18/09/2005,FR
47529,Al-Dakhil,Ahmed,31/10/2003,JR
